Flight Number,Departure,Arrival,Aircraft,Flight Time,Airline
AA3409,KAUS,KABQ,E175,01:25,American Airlines
AA479,KAUS,KBOS,B738,03:35,American Airlines
AA2179,KAUS,MMUN,B738,02:00,American Airlines
AA1119,KAUS,KCLT,B738,02:58,American Airlines
AA660,KAUS,KORD,"CRJ2, CRJ7, E175, B738",02:45,American Airlines
AA3817,KAUS,KCVG,E175,02:05,American Airlines
AA3446,KAUS,MMCZ,E175,02:05,American Airlines
AA1997,KAUS,KDFW,"A319, E175, CRJ7",01:05,American Airlines
AA3935,KAUS,KDSM,E175,01:50,American Airlines
AA3330,KAUS,KELP,E175,01:15,American Airlines
AA3403,KAUS,KIND,E175,02:00,American Airlines
AA3533,KAUS,KJAX,E175,02:05,American Airlines
AA3241,KAUS,KMCI,CRJ7,01:30,American Airlines
AA1015,KAUS,KLAS,B738,02:20,American Airlines
AA1291,KAUS,KLAX,B738,02:40,American Airlines
AA2231,KAUS,MRLB,A319,03:15,American Airlines
AA3691,KAUS,KMEM,E175,01:15,American Airlines
AA1352,KAUS,KMIA,"B738, B38M",02:20,American Airlines
AA3424,KAUS,KBNA,E175,01:40,American Airlines
AA2138,KAUS,KMSY,"A319, E175",01:05,American Airlines
AA1092,KAUS,KJFK,"B738, B38M",03:52,American Airlines
AA4844,KAUS,KOKC,CRJ7,00:55,American Airlines
AA2133,KAUS,KMCO,A319,02:10,American Airlines
AA3486,KAUS,KPSP,E175,02:25,American Airlines
AA860,KAUS,KPHL,A319,03:05,American Airlines
AA1760,KAUS,KPHX,"A319, B738",01:55,American Airlines
AA2340,KAUS,MMPR,A319,01:45,American Airlines
AA2333,KAUS,MDPC,A319,04:10,American Airlines
AA3486,KAUS,KRDU,E175,02:30,American Airlines
AA3854,KAUS,KRNO,E175,03:00,American Airlines
AA3777,KAUS,KSMF,E175,03:05,American Airlines
AA2592,KAUS,MMSD,B738,01:55,American Airlines
AA1697,KAUS,KSNA,A319,02:35,American Airlines
AA229,KAUS,KTPA,A319,02:00,American Airlines
AA3685,KAUS,KIAD,E175,02:45,American Airlines
AA3409,KABQ,KAUS,E175,01:25,American Airlines
AA787,KBOS,KAUS,B738,03:35,American Airlines
AA2588,MMUN,KAUS,B738,02:00,American Airlines
AA386,KCLT,KAUS,B738,02:58,American Airlines
AA1304,KORD,KAUS,"CRJ2, CRJ7, E175, B738",02:45,American Airlines
AA4077,KCVG,KAUS,E175,02:05,American Airlines
AA3446,MMCZ,KAUS,E175,02:05,American Airlines
AA1059,KDFW,KAUS,"A319, CRJ7, E175",01:10,American Airlines
AA3940,KDSM,KAUS,E175,01:50,American Airlines
AA3333,KELP,KAUS,E175,01:15,American Airlines
AA3404,KIND,KAUS,E175,02:00,American Airlines
AA3533,KJAX,KAUS,E175,02:05,American Airlines
AA3241,KMCI,KAUS,CRJ7,01:30,American Airlines
AA1592,KLAS,KAUS,B738,02:20,American Airlines
AA1240,MRLB,KAUS,A319,03:15,American Airlines
AA1086,KLAX,KAUS,B738,02:40,American Airlines
AA3523,KMEM,KAUS,E175,01:15,American Airlines
AA780,KMIA,KAUS,"B738, B38M",02:20,American Airlines
AA3383,KBNA,KAUS,E175,01:40,American Airlines
AA2138,KMSY,KAUS,"A319, E175",01:05,American Airlines
AA2772,KJFK,KAUS,"B738, B38M",04:27,American Airlines
AA4819,KOKC,KAUS,CRJ7,00:55,American Airlines
AA2133,KMCO,KAUS,A319,02:10,American Airlines
AA3486,KPSP,KAUS,E175,02:25,American Airlines
AA1394,KPHL,KAUS,A319,03:05,American Airlines
AA691,KPHX,KAUS,"A319, B738",01:55,American Airlines
AA2340,MMPR,KAUS,A319,01:45,American Airlines
AA2333,MDPC,KAUS,A319,04:10,American Airlines
AA3488,KRDU,KAUS,E175,02:30,American Airlines
AA3556,KRNO,KAUS,E175,03:00,American Airlines
AA3777,KSMF,KAUS,E175,03:05,American Airlines
AA2592,MMSD,KAUS,B738,01:55,American Airlines
AA1697,KSNA,KAUS,A319,02:35,American Airlines
AA2689,KTPA,KAUS,A319,02:00,American Airlines
AA3303,KIAD,KAUS,E175,02:45,American Airlines
AA1298,KBOS,MMUN,B738,03:40,American Airlines
AA622,KBOS,KCLT,A319,02:20,American Airlines
